bucket,method,path,source
"Other",POST,"/api/bootstrap/seed","server/routes/bootstrap/seed.ts"
"Other",GET,"/api/bootstrap/X-Bootstrap-Token","server/routes/bootstrap/seed.ts"
"Other",GET,"/api/auth/must-change","server/routes/auth/must_change.ts"
"Other",POST,"/api/auth/change-password","server/routes/auth/change_password.ts"
"Other",POST,"/api/auth/login","server/routes/auth/session.ts"
"Other",GET,"/api/auth/me","server/routes/auth/session.ts"
"Other",POST,"/api/auth/logout","server/routes/auth/session.ts"
"Other",POST,"/api/auth/password/change","server/routes/auth/password.ts"
"Other",POST,"/api/ops/errors/browser","server/routes/ops/errors.ts"
"Other",GET,"/api/admin/contacts","server/routes/admin/lists.ts"
"Other",GET,"/api/admin/applications","server/routes/admin/lists.ts"
"Other",POST,"/api/admin/applications/bulk/status","server/routes/admin/lists.ts"
"Other",GET,"/api/admin/search","server/routes/admin/lists.ts"
"Other",GET,"/api/apps/","server/routes/apps.ts"
"Other",GET,"/api/apps/:id","server/routes/apps.ts"
"Other",GET,"/api/recs/:appId","server/routes/recs.ts"
"Other",GET,"/api/recs/:appId/pdf","server/routes/recs.ts"
"Sales Pipeline",GET,"/api/pipeline/board","server/routes/pipeline.ts"
"Sales Pipeline",GET,"/api/pipeline/cards/:id","server/routes/pipeline.ts"
"Sales Pipeline",PATCH,"/api/pipeline/cards/:id/move","server/routes/pipeline.ts"
"Sales Pipeline",GET,"/api/pipeline/cards/:id/docs.zip","server/routes/pipeline.ts"
"Communication Hub",GET,"/api/voice/twiml/outbound","server/routes/voice.ts"
"Communication Hub",POST,"/api/voice/events","server/routes/voice.ts"
"Communication Hub",POST,"/api/voice/twiml/client-outgoing","server/routes/voice.ts"
"Communication Hub",POST,"/api/voice/twiml/incoming","server/routes/voice.ts"
"Communication Hub",POST,"/api/voice/twiml/transfer","server/routes/voice.ts"
"Communication Hub",POST,"/api/voice/twiml/conference","server/routes/voice.ts"
"Communication Hub",POST,"/api/voice/twiml/voicemail","server/routes/voice.ts"
"Communication Hub",POST,"/api/voice/twiml/transfer","server/routes/voice.ts"
"Communication Hub",POST,"/api/voice/twiml/conference","server/routes/voice.ts"
"Communication Hub",POST,"/api/voice/twiml/voicemail","server/routes/voice.ts"
"Other",POST,"/api/conference/enter","server/routes/conference.ts"
"Other",POST,"/api/conference/role","server/routes/conference.ts"
"Other",POST,"/api/conference/start","server/routes/conference.ts"
"Other",POST,"/api/conference/participants","server/routes/conference.ts"
"Other",POST,"/api/conference/bridge","server/routes/conference.ts"
"Other",POST,"/api/conference/status","server/routes/conference.ts"
"Other",POST,"/api/conference/recording-status","server/routes/conference.ts"
"Communication Hub",POST,"/api/voice/recording-status","server/routes/recording.webhooks.ts"
"Other",POST,"/api/conference/recording-status","server/routes/recording.webhooks.ts"
"Other",POST,"/api/bulletproof-auth/login","server/routes/bulletproofAuth.ts"
"Other",GET,"/api/bulletproof-auth/me","server/routes/bulletproofAuth.ts"
"Other",GET,"/api/bulletproof-auth/status","server/routes/bulletproofAuth.ts"
"Other",GET,"/api/unified-auth/me","server/routes/unifiedAuth.ts"
